timestamps,PPG1,PPG2,PPG3
1685718352.019,1846.000,107956.000,61808.000
1685718352.109,1860.000,107962.000,61795.000
1685718352.109,1846.000,107882.000,61807.000
1685718352.109,1852.000,107880.000,61783.000
1685718352.109,1849.000,107890.000,61786.000
1685718352.109,1841.000,107854.000,61757.000
1685718352.109,1850.000,107844.000,61771.000
1685718352.198,1836.000,107847.000,61750.000
1685718352.198,1851.000,107818.000,61736.000
1685718352.198,1834.000,107824.000,61750.000
1685718352.198,1844.000,107829.000,61741.000
1685718352.198,1838.000,107838.000,61736.000
1685718352.198,1842.000,107859.000,61725.000
1685718352.303,1842.000,107811.000,61713.000
1685718352.303,1836.000,107806.000,61753.000
1685718352.303,1850.000,107829.000,61755.000
1685718352.303,1833.000,107818.000,61730.000
1685718352.303,1847.000,107847.000,61709.000
1685718352.303,1833.000,107780.000,61714.000
1685718352.393,1842.000,107833.000,61717.000
1685718352.393,1841.000,107837.000,61723.000
1685718352.393,1837.000,107817.000,61709.000
1685718352.393,1841.000,107845.000,61749.000
1685718352.393,1833.000,107840.000,61713.000
1685718352.393,1845.000,107858.000,61724.000
1685718352.483,1831.000,107858.000,61722.000
1685718352.483,1841.000,107890.000,61721.000
1685718352.483,1834.000,107915.000,61719.000
1685718352.483,1836.000,107940.000,61721.000
1685718352.483,1839.000,107900.000,61748.000
1685718352.483,1830.000,107901.000,61732.000
1685718352.575,1842.000,107919.000,61745.000
1685718352.575,1827.000,107928.000,61761.000
1685718352.575,1841.000,107939.000,61734.000
1685718352.575,1825.000,107987.000,61771.000
1685718352.575,1831.000,107987.000,61758.000
1685718352.575,1831.000,108026.000,61754.000
1685718352.694,1827.000,107999.000,61783.000
1685718352.694,1834.000,108027.000,61794.000
1685718352.694,1822.000,108036.000,61761.000
1685718352.694,1834.000,108050.000,61775.000
1685718352.694,1819.000,107999.000,61758.000
1685718352.694,1827.000,108029.000,61744.000
1685718352.768,1818.000,108031.000,61728.000
1685718352.768,1819.000,107980.000,61765.000
1685718352.768,1826.000,107972.000,61745.000
1685718352.768,1810.000,107942.000,61716.000
1685718352.768,1825.000,107907.000,61728.000
1685718352.768,1808.000,107893.000,61719.000
1685718352.858,1817.000,107900.000,61711.000
1685718352.858,1804.000,107929.000,61699.000
1685718352.858,1799.000,107866.000,61715.000
1685718352.858,1795.000,107869.000,61709.000
1685718352.858,1785.000,107880.000,61710.000
1685718352.858,1788.000,107924.000,61705.000
1685718352.948,1768.000,107932.000,61714.000
1685718352.948,1780.000,107875.000,61700.000
1685718352.948,1754.000,107921.000,61707.000
1685718352.948,1764.000,107894.000,61687.000
1685718352.948,1753.000,107878.000,61716.000
1685718352.948,1743.000,107939.000,61697.000
1685718353.053,1755.000,107912.000,61700.000
1685718353.053,1734.000,107953.000,61707.000
1685718353.053,1741.000,107945.000,61681.000
1685718353.053,1725.000,107934.000,61715.000
1685718353.053,1730.000,107989.000,61709.000
1685718353.053,1721.000,107992.000,61719.000
1685718353.144,1718.000,107953.000,61721.000
1685718353.144,1717.000,107980.000,61703.000
1685718353.144,1710.000,108033.000,61711.000
1685718353.144,1722.000,108032.000,61742.000
1685718353.144,1711.000,108083.000,61711.000
1685718353.144,1723.000,108042.000,61724.000
1685718353.233,1712.000,108086.000,61737.000
1685718353.233,1718.000,108075.000,61722.000
1685718353.233,1718.000,108143.000,61737.000
1685718353.233,1717.000,108131.000,61744.000
1685718353.233,1726.000,108163.000,61745.000
1685718353.233,1710.000,108154.000,61764.000
1685718353.324,1729.000,108172.000,61763.000
1685718353.324,1711.000,108158.000,61781.000
1685718353.324,1726.000,108184.000,61787.000
1685718353.324,1716.000,108117.000,61759.000
1685718353.324,1713.000,108135.000,61742.000
1685718353.324,1722.000,108151.000,61762.000
1685718353.428,1710.000,108113.000,61756.000
1685718353.428,1722.000,108124.000,61744.000
1685718353.428,1711.000,108093.000,61729.000
1685718353.428,1720.000,108095.000,61746.000
1685718353.428,1714.000,108070.000,61752.000
1685718353.428,1717.000,108083.000,61744.000
1685718353.518,1719.000,108035.000,61734.000
1685718353.518,1712.000,108075.000,61750.000
1685718353.518,1724.000,108106.000,61741.000
1685718353.518,1710.000,108128.000,61740.000
1685718353.518,1726.000,108100.000,61750.000
1685718353.518,1712.000,108050.000,61741.000
1685718353.609,1720.000,108098.000,61749.000
1685718353.609,1720.000,108092.000,61761.000
1685718353.609,1720.000,108082.000,61739.000
1685718353.609,1723.000,108101.000,61760.000
1685718353.609,1713.000,108097.000,61725.000
1685718353.609,1727.000,108105.000,61748.000
1685718353.698,1712.000,108105.000,61757.000
1685718353.698,1726.000,108145.000,61770.000
1685718353.698,1719.000,108159.000,61740.000
1685718353.698,1722.000,108139.000,61774.000
1685718353.698,1723.000,108152.000,61777.000
1685718353.698,1718.000,108189.000,61772.000
1685718353.803,1729.000,108190.000,61772.000
1685718353.803,1714.000,108188.000,61796.000
1685718353.803,1729.000,108153.000,61774.000
1685718353.803,1719.000,108212.000,61773.000
1685718353.803,1727.000,108175.000,61796.000
1685718353.803,1731.000,108253.000,61781.000
1685718353.893,1730.000,108293.000,61807.000
1685718353.893,1738.000,108259.000,61816.000
1685718353.893,1728.000,108245.000,61819.000
1685718353.893,1744.000,108289.000,61827.000
1685718353.893,1733.000,108338.000,61818.000
1685718353.893,1742.000,108330.000,61826.000
1685718353.983,1736.000,108300.000,61799.000
1685718353.983,1737.000,108265.000,61771.000
1685718353.983,1741.000,108325.000,61759.000
1685718353.983,1734.000,108263.000,61751.000
1685718353.983,1750.000,108220.000,61722.000
1685718353.983,1735.000,108267.000,61747.000
1685718354.078,1754.000,108233.000,61732.000
1685718354.078,1747.000,108229.000,61728.000
1685718354.078,1756.000,108163.000,61685.000
1685718354.078,1764.000,108188.000,61694.000
1685718354.078,1761.000,108158.000,61684.000
1685718354.078,1771.000,108163.000,61682.000
1685718354.178,1768.000,108106.000,61659.000
1685718354.178,1779.000,108136.000,61680.000
1685718354.178,1774.000,108107.000,61674.000
1685718354.178,1785.000,108069.000,61666.000
1685718354.178,1780.000,108079.000,61656.000
1685718354.178,1782.000,108087.000,61643.000
1685718354.268,1787.000,108053.000,61642.000
1685718354.268,1788.000,108048.000,61627.000
1685718354.268,1797.000,108073.000,61615.000
1685718354.268,1796.000,108080.000,61581.000
